Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,019017,1966,null,null,null,null,null,null,null,null,null,null,30.9,28.4,null
IDCJAC0002,019017,1967,32.2,32.7,29.0,27.3,20.9,17.9,15.6,16.7,21.1,27.8,28.5,30.2,25.0
IDCJAC0002,019017,1968,33.5,34.3,30.7,25.6,15.9,null,null,null,null,null,null,null,null
IDCJAC0002,019017,1969,34.9,31.5,28.3,25.8,18.3,15.7,16.8,19.6,18.3,27.9,28.4,29.4,24.6
IDCJAC0002,019017,1970,32.0,35.5,28.9,24.9,19.0,18.2,16.1,16.1,18.0,25.6,27.3,30.3,24.3
IDCJAC0002,019017,1971,33.8,33.6,30.4,25.4,19.6,15.3,15.4,16.0,20.3,25.2,25.9,29.4,24.2
IDCJAC0002,019017,1972,30.0,31.1,30.5,25.9,20.9,18.2,15.5,18.2,23.5,26.2,30.0,34.9,25.4
IDCJAC0002,019017,1973,35.7,31.4,29.7,25.1,21.2,14.3,17.2,17.7,21.4,24.5,28.0,32.5,24.9
IDCJAC0002,019017,1974,33.0,29.8,31.4,21.9,19.3,16.7,15.6,17.4,18.4,23.2,28.1,32.2,23.9
IDCJAC0002,019017,1975,33.1,32.7,28.5,25.9,21.9,18.0,18.4,16.5,21.9,21.7,29.6,32.1,25.0
IDCJAC0002,019017,1976,30.9,31.8,30.6,24.3,19.9,17.1,17.5,18.1,20.9,20.8,26.4,32.8,24.3
IDCJAC0002,019017,1977,34.1,35.8,29.1,25.0,19.2,15.7,16.7,21.8,21.7,27.8,29.7,32.4,25.8
IDCJAC0002,019017,1978,32.5,34.2,29.9,25.6,20.3,15.3,14.4,15.7,18.5,25.1,28.1,30.9,24.2
IDCJAC0002,019017,1979,38.5,32.7,31.1,23.5,18.2,18.6,15.2,16.7,19.1,25.1,30.2,33.3,25.2
IDCJAC0002,019017,1980,32.9,33.7,32.4,27.0,21.4,16.0,14.9,19.6,24.3,26.1,31.4,33.3,26.1
IDCJAC0002,019017,1981,35.9,33.9,27.1,28.3,19.8,14.8,14.9,17.0,24.3,26.6,27.7,32.2,25.2
IDCJAC0002,019017,1982,34.2,32.8,29.8,25.5,20.7,15.7,15.8,22.2,21.5,26.2,32.6,33.1,25.8
IDCJAC0002,019017,1983,33.1,35.7,32.0,22.0,20.6,17.9,14.9,17.7,22.4,26.3,28.4,32.2,25.3
IDCJAC0002,019017,1984,31.6,34.2,29.3,24.0,20.8,17.4,13.9,17.4,17.9,24.9,28.2,31.6,24.3
IDCJAC0002,019017,1985,33.7,33.6,31.3,25.5,20.2,16.1,16.7,16.4,19.6,25.0,28.4,29.5,24.7
IDCJAC0002,019017,1986,33.8,33.2,33.8,25.9,21.2,16.3,14.1,17.1,21.1,22.2,29.2,30.3,24.9
IDCJAC0002,019017,1987,32.3,31.8,27.2,26.2,19.5,17.0,16.6,17.4,22.2,26.7,30.1,32.6,25.0
IDCJAC0002,019017,1988,35.8,32.5,30.0,25.2,20.4,15.9,16.5,19.1,23.9,30.0,27.7,32.1,25.8
IDCJAC0002,019017,1989,32.8,34.6,27.8,23.8,18.6,14.0,14.4,15.7,21.3,26.0,29.1,32.9,24.2
IDCJAC0002,019017,1990,34.1,30.6,31.7,24.8,21.2,16.2,15.4,15.4,23.2,27.7,32.0,33.4,25.5
IDCJAC0002,019017,1991,35.2,37.2,30.2,25.7,20.8,17.9,15.7,16.7,22.7,27.6,29.0,31.0,25.8
IDCJAC0002,019017,1992,31.6,32.6,31.8,25.4,18.9,16.6,17.2,16.9,18.5,23.7,null,null,null
IDCJAC0002,019017,1998,null,null,null,null,null,null,null,null,null,25.2,28.1,null,null
IDCJAC0002,019017,1999,37.2,32.7,null,null,null,16.8,17.0,18.8,24.1,26.5,26.3,30.6,null
IDCJAC0002,019017,2000,33.3,34.9,30.8,24.6,18.2,15.9,16.4,16.8,24.2,24.8,31.3,34.2,25.4
IDCJAC0002,019017,2001,39.0,36.7,29.5,25.8,20.7,16.4,15.8,17.6,22.2,22.1,26.7,29.0,25.1
IDCJAC0002,019017,2002,33.5,31.7,31.2,28.9,21.6,16.8,17.7,19.1,23.0,26.6,31.0,33.6,26.2
IDCJAC0002,019017,2003,36.2,34.4,28.8,26.8,20.8,16.9,17.2,16.7,23.4,22.5,32.2,33.6,25.8
IDCJAC0002,019017,2004,33.4,36.6,31.8,27.3,19.9,16.3,15.8,17.6,21.9,27.6,29.9,30.8,25.7
IDCJAC0002,019017,2005,34.6,32.4,30.7,29.5,23.2,16.9,15.4,18.3,20.2,25.9,29.7,33.5,25.9
IDCJAC0002,019017,2006,38.3,32.9,30.9,23.0,18.7,16.1,15.5,20.8,24.5,28.0,32.1,32.5,26.1
IDCJAC0002,019017,2007,32.5,34.9,29.5,26.1,20.9,14.7,16.9,20.2,24.0,27.4,30.8,32.6,25.9
IDCJAC0002,019017,2008,36.6,31.1,32.1,24.1,20.8,16.2,15.2,15.6,23.1,27.5,26.9,29.4,24.9
IDCJAC0002,019017,2009,36.2,35.0,30.2,24.6,19.2,16.0,15.9,19.7,22.4,25.0,32.1,32.4,25.7
IDCJAC0002,019017,2010,35.4,33.8,30.2,25.6,19.1,15.4,14.9,15.3,18.3,23.7,27.8,31.1,24.2
IDCJAC0002,019017,2011,37.5,32.4,26.1,24.2,18.0,17.3,16.2,20.5,24.2,26.0,30.9,31.4,25.4
IDCJAC0002,019017,2012,33.7,32.1,28.1,26.8,20.1,16.0,15.3,18.0,24.0,28.1,32.4,33.5,25.7
IDCJAC0002,019017,2013,36.2,33.9,29.5,26.5,21.6,15.4,16.2,18.5,26.7,26.9,29.2,33.2,26.2
IDCJAC0002,019017,2014,36.2,34.5,30.5,24.1,21.2,15.5,16.1,18.3,22.9,30.4,31.8,33.0,26.2
IDCJAC0002,019017,2015,32.9,37.0,29.9,22.8,18.9,16.2,14.7,17.8,21.7,32.2,31.1,34.9,25.8
IDCJAC0002,019017,2016,35.0,35.0,31.2,27.3,20.9,15.3,15.4,17.9,18.7,24.9,30.6,33.1,25.4
IDCJAC0002,019017,2017,35.0,34.0,33.2,24.2,19.9,18.2,18.4,18.0,23.5,26.9,30.1,32.1,26.1
IDCJAC0002,019017,2018,36.6,34.3,31.1,null,null,null,null,null,null,null,null,null,null
