Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,019017,1966,null,null,null,null,null,null,null,null,null,null,15.2,15.0,null
IDCJAC0004,019017,1967,16.4,17.8,13.9,12.3,7.8,5.4,3.7,3.7,7.6,11.9,12.7,15.0,10.7
IDCJAC0004,019017,1968,19.5,19.6,17.4,12.6,8.2,null,null,null,null,null,null,null,null
IDCJAC0004,019017,1969,18.3,17.3,14.1,9.7,6.2,3.5,4.2,3.7,4.5,10.8,12.0,14.2,9.9
IDCJAC0004,019017,1970,15.5,18.2,12.8,10.9,null,5.0,2.6,3.7,6.6,10.0,12.3,15.1,null
IDCJAC0004,019017,1971,16.5,18.2,17.9,12.5,6.5,4.2,3.2,4.4,7.2,9.0,12.2,14.5,10.5
IDCJAC0004,019017,1972,15.9,15.8,13.4,10.0,6.7,3.3,4.9,5.5,8.1,10.8,13.9,17.1,10.4
IDCJAC0004,019017,1973,22.0,18.0,15.9,12.8,8.4,5.0,5.4,4.6,6.9,10.0,11.9,16.1,11.4
IDCJAC0004,019017,1974,20.6,16.6,16.3,12.2,7.1,4.1,5.2,4.1,4.3,9.1,10.0,12.7,10.2
IDCJAC0004,019017,1975,13.8,18.3,13.5,9.1,8.0,2.7,4.6,4.3,7.7,9.1,12.5,17.4,10.1
IDCJAC0004,019017,1976,15.6,18.1,14.1,9.4,3.4,4.1,2.0,4.2,6.7,8.3,11.2,14.4,9.3
IDCJAC0004,019017,1977,16.7,19.4,11.7,8.1,7.2,4.1,2.5,5.4,5.6,11.8,13.9,15.7,10.2
IDCJAC0004,019017,1978,16.5,17.3,15.7,8.7,6.7,6.1,5.2,3.7,5.7,8.6,12.0,13.9,10.0
IDCJAC0004,019017,1979,21.7,19.1,14.7,9.7,5.6,4.5,2.6,4.8,7.2,8.5,13.6,15.3,10.6
IDCJAC0004,019017,1980,15.3,16.8,14.0,13.0,8.2,4.5,4.1,2.9,7.2,9.4,13.7,16.2,10.4
IDCJAC0004,019017,1981,21.3,19.1,12.8,12.1,7.8,5.7,4.0,4.1,5.4,8.9,13.3,15.4,10.8
IDCJAC0004,019017,1982,17.8,17.9,15.4,10.6,6.7,2.8,0.8,5.4,7.0,9.6,14.2,17.3,10.5
IDCJAC0004,019017,1983,16.5,20.0,17.8,10.7,7.6,4.8,3.3,4.6,7.8,11.0,14.2,17.7,11.3
IDCJAC0004,019017,1984,17.7,17.6,13.7,10.9,7.8,4.0,4.0,4.9,4.3,9.0,13.8,15.7,10.3
IDCJAC0004,019017,1985,17.2,17.7,16.1,10.1,5.2,2.4,1.9,4.1,3.2,9.2,14.2,13.9,9.6
IDCJAC0004,019017,1986,15.6,16.7,16.3,9.9,7.6,3.4,4.5,4.1,6.3,7.0,12.1,15.6,9.9
IDCJAC0004,019017,1987,15.8,17.8,12.3,10.3,7.2,4.9,3.6,4.3,6.7,9.1,14.1,16.7,10.2
IDCJAC0004,019017,1988,18.4,15.8,15.8,11.4,9.9,5.3,4.2,2.5,7.9,11.8,12.3,18.1,11.1
IDCJAC0004,019017,1989,16.5,17.8,15.9,11.1,7.1,2.9,1.4,2.1,4.6,7.5,13.4,16.0,9.7
IDCJAC0004,019017,1990,18.5,15.3,15.7,11.0,8.9,4.1,4.9,3.7,5.0,10.1,13.6,15.9,10.6
IDCJAC0004,019017,1991,18.7,17.6,13.7,10.9,5.2,7.2,3.7,5.3,5.4,9.4,13.4,14.7,10.4
IDCJAC0004,019017,1992,14.7,18.3,15.9,11.8,7.2,3.4,3.0,3.9,6.0,9.2,null,null,null
IDCJAC0004,019017,1998,null,null,null,null,null,null,null,null,null,10.9,13.7,null,null
IDCJAC0004,019017,1999,20.3,18.4,null,null,null,5.2,4.8,5.9,9.7,11.9,12.8,16.1,null
IDCJAC0004,019017,2000,16.7,20.9,16.6,12.4,6.7,4.4,4.2,5.6,9.2,9.4,16.8,17.4,11.7
IDCJAC0004,019017,2001,22.9,21.2,13.8,10.1,7.6,5.5,4.0,5.1,8.5,7.8,11.6,14.3,11.0
IDCJAC0004,019017,2002,16.5,15.2,13.7,11.6,7.6,5.2,4.5,3.3,7.2,8.7,15.2,16.4,10.4
IDCJAC0004,019017,2003,18.9,19.7,13.2,11.6,8.3,5.3,4.4,4.8,8.4,7.9,15.9,18.0,11.4
IDCJAC0004,019017,2004,16.5,20.5,14.7,12.5,6.0,6.4,3.7,5.0,7.7,11.6,14.4,15.2,11.2
IDCJAC0004,019017,2005,18.1,15.1,13.6,13.3,8.2,6.5,4.1,4.1,6.3,9.7,13.2,15.6,10.6
IDCJAC0004,019017,2006,23.0,17.1,16.2,9.2,4.4,1.1,3.7,4.3,7.8,11.1,15.2,16.2,10.8
IDCJAC0004,019017,2007,18.8,18.6,15.7,12.4,8.9,2.2,3.2,4.2,7.5,10.6,15.5,16.9,11.2
IDCJAC0004,019017,2008,19.9,16.9,15.4,9.7,6.7,6.4,3.8,2.3,7.4,10.9,13.8,16.0,10.8
IDCJAC0004,019017,2009,18.4,18.9,15.3,10.9,7.8,6.6,5.9,6.7,8.6,10.4,17.9,16.6,12.0
IDCJAC0004,019017,2010,18.5,19.5,15.6,12.7,7.8,4.0,2.6,3.5,6.4,9.3,12.6,15.3,10.7
IDCJAC0004,019017,2011,20.5,18.5,15.3,9.0,6.3,3.6,2.9,5.3,7.0,10.9,14.8,15.8,10.8
IDCJAC0004,019017,2012,18.6,17.1,14.0,10.0,5.4,3.5,2.4,3.3,6.8,11.0,15.5,16.8,10.4
IDCJAC0004,019017,2013,18.0,18.5,15.8,12.7,9.5,5.8,5.2,4.3,8.7,8.6,12.0,15.8,11.2
IDCJAC0004,019017,2014,19.9,19.0,15.5,12.2,9.8,5.6,2.9,1.6,6.1,10.6,14.4,15.3,11.1
IDCJAC0004,019017,2015,18.0,18.5,13.8,9.8,7.5,4.6,2.9,3.8,4.6,13.5,14.2,17.7,10.7
IDCJAC0004,019017,2016,18.8,17.6,17.4,11.8,8.3,6.1,3.7,2.8,4.6,8.3,12.3,16.9,10.7
IDCJAC0004,019017,2017,19.2,17.8,16.3,10.9,5.7,2.0,3.1,4.0,7.7,11.5,15.3,16.7,10.8
IDCJAC0004,019017,2018,20.5,18.8,15.8,null,null,null,null,null,null,null,null,null,null
